r1 r2 correlator
"(-3, -3)" "(-2, -1)" -0.11401531631196926
"(-3, -3)" "(-2, -3)" -0.11324143570668767
"(-3, -2)" "(-2, -2)" -0.10994718637926153
"(-3, -3)" "(-1, 0)" -0.11328433156742773
"(-3, -2)" "(-1, -1)" -0.10999298579395873
"(-3, -3)" "(0, 1)" -0.11331311893192726
"(-3, -2)" "(0, 0)" -0.11131882144242593
"(-3, -3)" "(1, 2)" -0.1139545523229429
"(-3, -2)" "(1, 1)" -0.10988442313624543
"(-3, -3)" "(2, 3)" -0.11329791680262341
"(-3, -2)" "(2, 2)" -0.11002439719244517
"(-3, -2)" "(3, 3)" -0.11141740963277791
"(-2, -2)" "(-2, -1)" -0.11490944169848592
"(-2, -2)" "(-2, -3)" -0.10975986677310035
"(-2, -1)" "(-2, -2)" -0.11044915739189744
"(-2, -2)" "(-1, 0)" -0.109934719251736
"(-2, -1)" "(-1, -1)" -0.11020347254895223
"(-2, -2)" "(0, 1)" -0.10982048095631645
"(-2, -1)" "(0, 0)" -0.1135527935498401
"(-2, -2)" "(1, 2)" -0.11490800033342566
"(-2, -1)" "(1, 1)" -0.11036088486861083
"(-2, -2)" "(2, 3)" -0.10996425526660443
"(-2, -1)" "(2, 2)" -0.11005246000406989
"(-2, -1)" "(3, 3)" -0.11345089822340365
"(-1, -1)" "(-2, -1)" -0.1296430724743656
"(-1, -1)" "(-2, -3)" -0.10367933349827473
"(-1, 0)" "(-2, -2)" -0.06281886920298739
"(-1, -1)" "(-1, 0)" -0.1045320113627878
"(-1, 0)" "(-1, -1)" -0.06253820464013539
"(-1, -1)" "(0, 1)" -0.10368841660301853
"(-1, -1)" "(1, 2)" -0.12971426196487706
"(-1, 0)" "(1, 1)" -0.06266795883852697
"(-1, -1)" "(2, 3)" -0.1045436838433012
"(-1, 0)" "(2, 2)" -0.062422127100248866
"(0, 0)" "(-2, -1)" -0.16993692328015247
"(0, 1)" "(-2, -2)" -0.06436407546021768
"(0, 1)" "(-1, -1)" -0.06404549800523214
"(0, 0)" "(1, 2)" -0.16995347453238385
"(0, 1)" "(1, 1)" -0.06440412356679537
"(0, 1)" "(2, 2)" -0.06414019268624022
"(1, 1)" "(-2, -1)" -0.12907740171104123
"(1, 1)" "(-2, -3)" -0.10481172575965422
"(1, 2)" "(-2, -2)" -0.11042536518098385
"(1, 1)" "(-1, 0)" -0.10567038212726894
"(1, 2)" "(-1, -1)" -0.11014644724453505
"(1, 1)" "(0, 1)" -0.10490697346723515
"(1, 2)" "(0, 0)" -0.11366765634819517
"(1, 1)" "(1, 2)" -0.12896109475046527
"(1, 2)" "(1, 1)" -0.11051582830622694
"(1, 1)" "(2, 3)" -0.10567237775020544
"(1, 2)" "(2, 2)" -0.11030913457535065
"(1, 2)" "(3, 3)" -0.11387690826858746
"(2, 2)" "(-2, -1)" -0.11479209047570756
"(2, 2)" "(-2, -3)" -0.10996424152563172
"(2, 3)" "(-2, -2)" -0.11076260925608192
"(2, 2)" "(-1, 0)" -0.11017259549410131
"(2, 3)" "(-1, -1)" -0.11082918922479099
"(2, 2)" "(0, 1)" -0.1100490240838822
"(2, 3)" "(0, 0)" -0.11199574211533349
"(2, 2)" "(1, 2)" -0.11467263888460145
"(2, 3)" "(1, 1)" -0.11080903900927287
"(2, 2)" "(2, 3)" -0.11017402685541859
"(2, 3)" "(2, 2)" -0.11083405355170795
"(2, 3)" "(3, 3)" -0.11185622214261068
"(3, 3)" "(-2, -1)" -0.1147402634882287
"(3, 3)" "(-2, -3)" -0.11417465024227119
"(3, 3)" "(-1, 0)" -0.11411796250843824
"(3, 3)" "(0, 1)" -0.11411294739005531
"(3, 3)" "(1, 2)" -0.1147552982143367
"(3, 3)" "(2, 3)" -0.1142422094818403
"(-3, -2)" "(-2, -1)" 0.06624344238449995
"(-3, -2)" "(-2, -3)" 0.06600339298327748
"(-3, -2)" "(-1, -2)" 0.0662112293179678
"(-3, -2)" "(-1, 0)" 0.06606582734302004
"(-3, -2)" "(0, -1)" 0.06556121060711136
"(-3, -2)" "(0, 1)" 0.06549881373284851
"(-3, -2)" "(1, 0)" 0.06604710068727032
"(-3, -2)" "(1, 2)" 0.06619370569539375
"(-3, -2)" "(2, 1)" 0.06619549881051454
"(-3, -2)" "(2, 3)" 0.06609038270663282
"(-3, -2)" "(-3, -2)" 0.06553855253929035
"(-3, -2)" "(3, 2)" 0.06557727895472244
"(-2, -1)" "(-2, -1)" 0.0647038783764026
"(-2, -1)" "(-2, -3)" 0.061602822383299734
"(-2, -1)" "(-1, -2)" 0.06482178675027347
"(-2, -1)" "(-1, 0)" 0.06183614685814622
"(-2, -1)" "(0, -1)" 0.05955306294958735
"(-2, -1)" "(0, 1)" 0.05939296774545409
"(-2, -1)" "(1, 0)" 0.06166266173176063
"(-2, -1)" "(1, 2)" 0.06465150689830078
"(-2, -1)" "(2, 1)" 0.06477070585052042
"(-2, -1)" "(2, 3)" 0.06182860394290734
"(-2, -1)" "(-3, -2)" 0.05946553392789339
"(-2, -1)" "(3, 2)" 0.05947506155371542
"(-1, 0)" "(-2, -1)" 0.043090549183171574
"(-1, 0)" "(-1, -2)" 0.043357363194694645
"(-1, 0)" "(0, -1)" 0.009035353474117876
"(-1, 0)" "(0, 1)" 0.008748253838093516
"(-1, 0)" "(1, 2)" 0.04302326485976852
"(-1, 0)" "(2, 1)" 0.043328375187889734
"(-1, 0)" "(-3, -2)" 0.0088199072016069
"(-1, 0)" "(3, 2)" 0.008985493157775666
"(0, 1)" "(-2, -1)" 0.044370095655659664
"(0, 1)" "(-2, -3)" 0.011184518623606041
"(0, 1)" "(-1, -2)" 0.04412181900108978
"(0, 1)" "(-1, 0)" 0.011400066919427364
"(0, 1)" "(1, 0)" 0.011283050442604182
"(0, 1)" "(1, 2)" 0.04437452243443857
"(0, 1)" "(2, 1)" 0.04413355443592625
"(0, 1)" "(2, 3)" 0.011436411580114205
"(1, 2)" "(-2, -1)" 0.06499968372627361
"(1, 2)" "(-2, -3)" 0.06005974078367662
"(1, 2)" "(-1, -2)" 0.06491693146095989
"(1, 2)" "(-1, 0)" 0.06017113422567269
"(1, 2)" "(0, -1)" 0.062385053485011124
"(1, 2)" "(0, 1)" 0.06221426723199976
"(1, 2)" "(1, 0)" 0.06017402524079011
"(1, 2)" "(1, 2)" 0.06502983620041562
"(1, 2)" "(2, 1)" 0.06496274488774528
"(1, 2)" "(2, 3)" 0.060228320582913955
"(1, 2)" "(-3, -2)" 0.06221054116657224
"(1, 2)" "(3, 2)" 0.06240892211554358
"(2, 3)" "(-2, -1)" 0.06650590648285162
"(2, 3)" "(-2, -3)" 0.06581555680311589
"(2, 3)" "(-1, -2)" 0.0665248244563489
"(2, 3)" "(-1, 0)" 0.06590519343153313
"(2, 3)" "(0, -1)" 0.06635290235152824
"(2, 3)" "(0, 1)" 0.06630262832956713
"(2, 3)" "(1, 0)" 0.06589512611999694
"(2, 3)" "(1, 2)" 0.06650120582800394
"(2, 3)" "(2, 1)" 0.06656231066870955
"(2, 3)" "(2, 3)" 0.06594336477487092
"(2, 3)" "(-3, -2)" 0.06632942402507369
"(2, 3)" "(3, 2)" 0.06634450784445398
