r1 r2 correlator
"(-3, -3)" "(-2, -1)" -0.11473792391465786
"(-3, -3)" "(-2, -3)" -0.11379502171842977
"(-3, -2)" "(-2, -2)" -0.10871322492405552
"(-3, -3)" "(-1, 0)" -0.11364235925516086
"(-3, -2)" "(-1, -1)" -0.10773106135696957
"(-3, -3)" "(0, 1)" -0.11451338155905434
"(-3, -2)" "(0, 0)" -0.1073178850767366
"(-3, -3)" "(1, 2)" -0.1135487529927654
"(-3, -2)" "(1, 1)" -0.10859670928098078
"(-3, -3)" "(2, 3)" -0.1144405881119428
"(-3, -2)" "(2, 2)" -0.10925848104123671
"(-3, -2)" "(3, 3)" -0.10925211172117186
"(-2, -2)" "(-2, -1)" -0.11528725732412218
"(-2, -2)" "(-2, -3)" -0.1117662642675154
"(-2, -1)" "(-2, -2)" -0.1131227610116107
"(-2, -2)" "(-1, 0)" -0.10531892030415844
"(-2, -1)" "(-1, -1)" -0.11971763256078427
"(-2, -2)" "(0, 1)" -0.11052559288070712
"(-2, -1)" "(0, 0)" -0.12739735124948412
"(-2, -2)" "(1, 2)" -0.11008762043519049
"(-2, -1)" "(1, 1)" -0.11830588968013896
"(-2, -2)" "(2, 3)" -0.1150700813859776
"(-2, -1)" "(2, 2)" -0.11259818082196767
"(-2, -1)" "(3, 3)" -0.11151357444811534
"(-1, -1)" "(-2, -1)" -0.1275647778546049
"(-1, -1)" "(-2, -3)" -0.10965639887169244
"(-1, 0)" "(-2, -2)" -0.08753434417387607
"(-1, -1)" "(-1, 0)" -0.09524248501886053
"(-1, 0)" "(-1, -1)" -0.07287010138732747
"(-1, -1)" "(0, 1)" -0.1305244475436917
"(-1, -1)" "(1, 2)" -0.10192446588921451
"(-1, 0)" "(1, 1)" -0.07109228217235873
"(-1, -1)" "(2, 3)" -0.11993451062334008
"(-1, 0)" "(2, 2)" -0.09816013179515692
"(-1, 0)" "(3, 3)" -0.10053238832038452
"(0, 0)" "(-2, -1)" -0.1339996711418743
"(0, 0)" "(-2, -3)" -0.09399256457717221
"(0, 1)" "(-2, -2)" -0.10782896055685263
"(0, 1)" "(-1, -1)" -0.12873378331504765
"(0, 0)" "(1, 2)" -0.06025505680922062
"(0, 0)" "(2, 3)" -0.12649227665687382
"(0, 1)" "(2, 2)" -0.12820805416977885
"(0, 1)" "(3, 3)" -0.10724342229305073
"(1, 1)" "(-2, -1)" -0.12522659656944538
"(1, 1)" "(-2, -3)" -0.09508616712990557
"(1, 2)" "(-2, -2)" -0.10100812574665702
"(1, 1)" "(-1, 0)" -0.06379399677329355
"(1, 2)" "(-1, -1)" -0.0976064665172987
"(1, 2)" "(0, 0)" -0.07208227254605476
"(1, 1)" "(2, 3)" -0.13443124881399868
"(1, 2)" "(2, 2)" -0.07328996327605089
"(1, 2)" "(3, 3)" -0.08809188951882575
"(2, 2)" "(-2, -1)" -0.11898669875935192
"(2, 2)" "(-2, -3)" -0.11042105568499815
"(2, 3)" "(-2, -2)" -0.11250008999265916
"(2, 2)" "(-1, 0)" -0.10452347648037039
"(2, 3)" "(-1, -1)" -0.11367702356095578
